"YEAR","CASEID","REGION","FAMINCOME","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","CITIZEN","BPL","EDUCYRS","EMPSTAT","FULLPART","KIDUND18","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_HHACT","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","BLS_PCARE_SLEEP","Sleep_Time","Time_Use"
2020,20200111190678,4,15,1,1,5164938.995227,32,1,100,1,1,9900,214,1,1,1,0,0,0,5,31,600,0,0,60,0,180,0,85,0,479,520,520,1440
2020,20200111190697,1,16,1,1,6219829.473771,37,2,100,1,1,9900,316,1,1,1,125,0,0,80,201,442,0,0,10,0,40,0,47,0,450,397,397,1395
2020,20200111190710,3,8,1,1,4.8273138069808E7,19,1,100,4,1,9900,112,1,2,0,0,15,0,105,0,390,0,0,0,0,255,0,355,0,320,390,390,1440
2020,20200111190724,3,7,1,1,9768901.740744,64,2,100,1,5,20000,105,1,1,0,0,0,0,20,107,562,0,0,0,65,191,0,20,0,475,480,480,1440
2020,20200111190734,1,16,1,1,1.9814441958368E7,61,1,110,1,1,9900,316,1,1,0,0,0,0,150,0,480,0,0,0,0,243,0,38,0,394,420,420,1305
2020,20200111190741,4,16,1,1,5773191.33434,46,2,100,1,5,45700,217,5,99,1,35,0,0,110,195,540,0,0,70,0,124,239,72,40,0,465,465,1425
2020,20200111190750,3,16,1,1,3883205.803619,33,1,100,1,1,9900,316,1,1,1,428,0,0,70,75,590,0,0,9,70,120,0,18,0,60,590,590,1440
2020,20200111190772,3,15,1,1,2.2466831142275E7,75,2,100,1,1,9900,112,1,1,0,0,0,0,110,0,550,0,0,0,0,120,0,40,0,620,480,480,1440
2020,20200111190804,3,13,1,1,3989091.447375,44,1,100,1,1,9900,214,1,1,0,0,0,0,80,1,480,0,0,5,0,152,0,54,0,668,435,435,1440
2020,20200111190814,1,16,1,1,5869885.986206,73,1,110,4,1,9900,320,5,99,0,0,30,0,140,45,624,20,0,20,0,260,130,74,0,97,535,535,1440
2020,20200111190830,2,15,1,1,1.4070318882245E7,37,2,110,1,4,60065,217,1,1,1,90,0,0,90,120,475,0,0,0,0,90,45,40,0,490,430,430,1440
2020,20200111190837,1,9,1,1,8577644.602962,57,2,110,6,5,26030,112,4,99,0,0,0,0,75,30,495,0,0,0,165,495,180,0,0,0,480,480,1440
2020,20200111190845,1,13,1,1,1.0803280620969E7,51,2,110,1,5,26030,112,1,1,0,0,0,0,15,105,475,0,0,0,135,120,0,50,0,450,445,445,1350
2020,20200111190860,2,13,1,1,7104470.127925,59,2,100,1,1,9900,217,1,1,0,0,0,0,0,0,335,0,0,5,60,572,0,35,20,358,280,280,1385
